iter	Logloss
0	0.68045588
1	0.669078151
2	0.6587556098
3	0.6493077494
4	0.6410586215
5	0.6336273672
6	0.626941613
7	0.6208428057
8	0.6156104691
9	0.6108235789
10	0.6063656002
11	0.6024998374
12	0.5991577812
13	0.59583622
14	0.5929596065
15	0.5902514479
16	0.5878432791
17	0.5856005568
18	0.5838083094
19	0.5820785688
20	0.5806191615
21	0.579102797
22	0.5777851796
23	0.5766126594
24	0.5753802733
25	0.5743422006
26	0.5733875993
27	0.5724689481
28	0.5716422866
29	0.5709364237
30	0.5702551721
31	0.5696642699
32	0.5691404929
33	0.5686546974
34	0.5681831107
35	0.5677797395
36	0.5673361108
37	0.5669335909
38	0.5665683222
39	0.5661736903
40	0.5658777552
41	0.5656092128
42	0.5653797528
43	0.5651376959
44	0.5648535872
45	0.5646184998
46	0.5644086194
47	0.5642011511
48	0.5640244327
49	0.5638281167
50	0.5636631174
51	0.5634904866
52	0.5633403294
53	0.5632378852
54	0.5630694214
55	0.5629796288
56	0.5628626776
57	0.5627277124
58	0.5625939808
59	0.5624412026
60	0.5623578608
61	0.5622556475
62	0.5621774598
63	0.562093199
64	0.5619684001
65	0.5619057683
66	0.5617960207
67	0.5617332124
68	0.5616445298
69	0.5615683341
70	0.5614967389
71	0.5614129406
72	0.5613586176
73	0.561284253
74	0.5612314268
75	0.5612156351
76	0.561134702
77	0.5610616342
78	0.5609855945
79	0.5609536254
80	0.5609061704
81	0.5608207604
82	0.5608049375
83	0.5607367697
84	0.5606825467
85	0.5606395499
86	0.5605631799
87	0.5605229218
88	0.5604756696
89	0.5604264689
90	0.5604201693
91	0.5603875216
92	0.5603223694
93	0.5602663746
94	0.5601938111
95	0.5601477016
96	0.5600918026
97	0.5600380653
98	0.5599821624
99	0.5599378698
100	0.5599012857
101	0.5598337414
102	0.5598065133
103	0.5597438571
104	0.5597102367
105	0.5596731932
106	0.5596420318
107	0.5595867187
108	0.5595349289
109	0.5595039715
110	0.5594985296
111	0.559453731
112	0.5594035887
113	0.5593560673
114	0.5593138756
115	0.5592791644
116	0.5592509759
117	0.5592199916
118	0.5592184107
119	0.559178082
120	0.5591301789
121	0.5590918827
122	0.5590446646
123	0.5590113999
124	0.5589659979
125	0.5589392581
126	0.5588983646
127	0.5588833877
128	0.5588482863
129	0.5588249954
130	0.5588042678
131	0.558759302
132	0.5587268104
133	0.5586791979
134	0.5586353395
135	0.558606984
136	0.5585776531
137	0.5585339496
138	0.5585079265
139	0.5584712067
140	0.5584211092
141	0.5583699136
142	0.5583366147
143	0.5583006699
144	0.5582544185
145	0.5582145697
146	0.5581989381
147	0.5581559207
148	0.5581490366
149	0.5580953673
150	0.5580537183
151	0.5580252656
152	0.5579973369
153	0.5579543038
154	0.5579344005
155	0.5579090722
156	0.557876323
157	0.5578521275
158	0.5578235799
159	0.5577929151
160	0.5577544302
161	0.5577298271
162	0.5577058326
163	0.5576846855
164	0.5576418142
165	0.5575754139
166	0.5575217382
167	0.5574976545
168	0.5574671401
169	0.5574301979
170	0.5573827682
171	0.5573555434
172	0.5573235026
173	0.5572917501
174	0.5572426349
175	0.5572198915
176	0.5571928811
177	0.5571922009
178	0.5571591221
179	0.5571357823
180	0.5571067885
181	0.5570752073
182	0.5570380013
183	0.5569960039
184	0.5569754645
185	0.5569319142
186	0.5568835134
187	0.5568500177
188	0.5568208239
189	0.5567945669
190	0.5567653341
191	0.5567468501
192	0.5567156565
193	0.5566920325
194	0.55666001
195	0.556637528
196	0.556608022
197	0.556580699
198	0.5565706142
199	0.5565354053
200	0.5565170468
201	0.5564939876
202	0.5564543151
203	0.5564245354
204	0.5564099148
205	0.5563655247
206	0.5563298556
207	0.5563040419
208	0.5562814996
209	0.5562391622
210	0.5562040429
211	0.5561691665
212	0.5561310705
213	0.5561110472
214	0.5560892862
215	0.5560507928
216	0.5560163307
217	0.5560155434
218	0.5559988543
219	0.5559814837
220	0.5559604211
221	0.5559188071
222	0.5558778638
223	0.5558366447
224	0.5558222822
225	0.5558077039
226	0.5557626972
227	0.5557256046
228	0.555697237
229	0.5556657162
230	0.5556300885
231	0.5555927658
232	0.5555662834
233	0.5555400152
234	0.5555116354
235	0.5554714659
236	0.5554479204
237	0.555429483
238	0.5554081658
239	0.5553806506
240	0.5553588045
241	0.5553307411
242	0.555308728
243	0.5552883491
244	0.5552574896
245	0.5552249123
246	0.5551972046
247	0.5551684195
248	0.5551404075
249	0.5551171208
250	0.555080937
251	0.555045479
252	0.5550130214
253	0.5549715003
254	0.5549413072
255	0.5549080814
256	0.5548770591
257	0.5548371757
258	0.554802299
259	0.5547639694
260	0.5547329302
261	0.5547127326
262	0.5546821397
263	0.5546581551
264	0.5546233432
265	0.5545903235
266	0.5545638551
267	0.5545377143
268	0.5545008946
269	0.5544498912
270	0.5544267632
271	0.5543886598
272	0.5543569147
273	0.5543330099
274	0.554311816
275	0.5542875522
276	0.5542671133
277	0.5542345998
278	0.5542075734
279	0.5541711309
280	0.5541543732
281	0.5541174754
282	0.5540868535
283	0.5540603369
284	0.5540368954
285	0.5539934233
286	0.5539659721
287	0.5539330451
288	0.5539052666
289	0.553883516
290	0.553864974
291	0.5538344974
292	0.5538032866
293	0.5537668219
294	0.5537247852
295	0.5537030235
296	0.5536680422
297	0.5536360363
298	0.5536185729
299	0.5535879061
