iter	Passed	Remaining
0	202	60462
1	222	33226
2	239	23753
3	256	18969
4	272	16089
5	290	14221
6	304	12761
7	317	11590
8	332	10738
9	356	10330
10	380	9992
11	398	9552
12	417	9213
13	440	8997
14	457	8686
15	477	8481
16	496	8258
17	514	8061
18	531	7863
19	549	7687
20	563	7486
21	581	7350
22	599	7225
23	617	7102
24	636	6998
25	653	6889
26	673	6810
27	691	6720
28	709	6630
29	728	6552
30	744	6461
31	760	6370
32	777	6292
33	791	6196
34	809	6126
35	826	6057
36	843	5992
37	858	5919
38	874	5851
39	892	5804
40	907	5735
41	924	5676
42	939	5616
43	957	5569
44	972	5511
45	991	5476
46	1005	5414
47	1026	5389
48	1050	5380
49	1069	5347
50	1089	5317
51	1106	5278
52	1122	5232
53	1139	5191
54	1157	5156
55	1174	5118
56	1202	5127
57	1227	5119
58	1244	5081
59	1256	5025
60	1270	4976
61	1287	4942
62	1303	4904
63	1319	4867
64	1339	4841
65	1357	4811
66	1377	4791
67	1394	4756
68	1412	4730
69	1431	4705
70	1450	4678
71	1472	4661
72	1492	4641
73	1508	4608
74	1530	4592
75	1551	4571
76	1570	4548
77	1592	4531
78	1612	4510
79	1632	4489
80	1651	4464
81	1669	4439
82	1683	4401
83	1702	4377
84	1721	4354
85	1742	4336
86	1760	4311
87	1777	4282
88	1798	4263
89	1820	4247
90	1832	4209
91	1850	4183
92	1866	4153
93	1881	4123
94	1895	4090
95	1908	4056
96	1923	4024
97	1937	3993
98	1951	3962
99	1965	3930
100	1980	3901
101	2002	3888
102	2018	3860
103	2034	3833
104	2049	3805
105	2065	3780
106	2082	3756
107	2098	3730
108	2115	3706
109	2132	3682
110	2144	3651
111	2157	3621
112	2171	3593
113	2187	3569
114	2199	3538
115	2213	3510
116	2227	3483
117	2240	3455
118	2248	3420
119	2260	3391
120	2273	3363
121	2285	3335
122	2297	3306
123	2309	3278
124	2322	3251
125	2334	3224
126	2345	3195
127	2354	3164
128	2367	3138
129	2380	3112
130	2394	3089
131	2408	3065
132	2423	3042
133	2438	3020
134	2451	2996
135	2465	2973
136	2478	2949
137	2490	2924
138	2503	2899
139	2516	2876
140	2529	2852
141	2543	2830
142	2556	2807
143	2569	2783
144	2583	2761
145	2594	2736
146	2606	2712
147	2619	2690
148	2631	2667
149	2644	2644
150	2658	2623
151	2669	2599
152	2681	2575
153	2692	2552
154	2701	2527
155	2713	2504
156	2724	2481
157	2735	2458
158	2747	2436
159	2759	2414
160	2771	2392
161	2782	2370
162	2794	2348
163	2807	2327
164	2820	2307
165	2832	2286
166	2845	2266
167	2856	2244
168	2868	2223
169	2882	2204
170	2894	2183
171	2905	2162
172	2917	2142
173	2931	2122
174	2944	2102
175	2955	2082
176	2968	2062
177	2975	2039
178	2987	2019
179	3090	2060
180	3108	2043
181	3119	2022
182	3130	2001
183	3141	1980
184	3152	1959
185	3161	1937
186	3172	1916
187	3183	1896
188	3193	1875
189	3203	1854
190	3213	1834
191	3223	1813
192	3235	1793
193	3245	1773
194	3257	1753
195	3266	1733
196	3319	1735
197	3333	1717
198	3344	1697
199	3356	1678
200	3367	1658
201	3379	1639
202	3390	1620
203	3402	1601
204	3412	1581
205	3423	1562
206	3434	1543
207	3446	1524
208	3457	1505
209	3469	1486
210	3480	1468
211	3491	1449
212	3504	1431
213	3513	1412
214	3524	1393
215	3536	1375
216	3547	1356
217	3556	1337
218	3567	1319
219	3577	1301
220	3587	1282
221	3598	1264
222	3609	1246
223	3620	1228
224	3630	1210
225	3641	1192
226	3737	1201
227	3751	1184
228	3762	1166
229	3772	1148
230	3783	1130
231	3794	1112
232	3806	1094
233	3818	1076
234	3830	1059
235	3843	1042
236	3854	1024
237	3867	1007
238	3879	990
239	3891	972
240	3901	955
241	3912	937
242	3923	920
243	3935	903
244	3948	886
245	3959	869
246	3970	852
247	3980	834
248	3990	817
249	4000	800
250	4011	783
251	4023	766
252	4034	749
253	4045	732
254	4058	716
255	4070	699
256	4080	682
257	4091	666
258	4103	649
259	4113	632
260	4125	616
261	4137	600
262	4147	583
263	4159	567
264	4170	550
265	4180	534
266	4191	518
267	4202	501
268	4213	485
269	4225	469
270	4237	453
271	4248	437
272	4260	421
273	4271	405
274	4282	389
275	4296	373
276	4308	357
277	4319	341
278	4330	325
279	4341	310
280	4352	294
281	4364	278
282	4375	262
283	4386	247
284	4399	231
285	4410	215
286	4420	200
287	4431	184
288	4441	169
289	4452	153
290	4463	138
291	4473	122
292	4483	107
293	4494	91
294	4505	76
295	4515	61
296	4526	45
297	4537	30
298	4547	15
299	4557	0
